id,name,lat,lon
KTLX,Oklahoma City/Twin Lakes OK,35.333,-97.278
KOKC,Oklahoma City OK,35.393,-97.600
KFDR,Frederick OK,34.362,-98.977
KINX,Tulsa/Inola OK,36.175,-95.564
KVNX,Vance AFB OK,36.741,-98.128
KAMA,Amarillo TX,35.233,-101.709
KDDC,Dodge City KS,37.761,-99.969
KICT,Wichita KS,37.654,-97.443
KSGF,Springfield MO,37.235,-93.400
KEAX,Kansas City/Pleasant Hill MO,38.810,-94.264
KFWS,Dallas/Fort Worth TX,32.573,-97.303
KGRK,Fort Hood TX,30.722,-97.383
KEWX,Austin/San Antonio TX,29.704,-98.029
KHGX,Houston/Galveston TX,29.472,-95.079
KCRP,Corpus Christi TX,27.784,-97.511
KBRO,Brownsville TX,25.916,-97.419
KMAF,Midland/Odessa TX,31.943,-102.189
KLBB,Lubbock TX,33.654,-101.814
KDFX,Laughlin AFB TX,29.273,-100.280
KEPZ,El Paso TX,31.873,-106.698
KABX,Albuquerque NM,35.150,-106.824
KFDX,Cannon AFB NM,34.634,-103.619
KHDX,Holloman AFB NM,33.077,-106.120
KPUX,Pueblo CO,38.459,-104.181
KGJX,Grand Junction CO,39.062,-108.214
KFTG,Denver/Boulder CO,39.786,-104.546
KCYS,Cheyenne WY,41.152,-104.806
KRIW,Riverton WY,43.066,-108.477
KBLX,Billings MT,45.854,-108.607
KGGW,Glasgow MT,48.206,-106.625
KTFX,Great Falls MT,47.459,-111.385
KMSX,Missoula MT,47.041,-113.986
KSFX,Pocatello/Idaho Falls ID,43.106,-112.686
KBOI,Boise ID,43.566,-116.223
KMTX,Salt Lake City UT,41.263,-112.448
KICX,Cedar City UT,37.591,-112.862
KFSX,Flagstaff AZ,34.574,-111.198
KIWA,Phoenix AZ,33.289,-111.670
KEMX,Tucson AZ,31.894,-110.630
KYUX,Yuma AZ,32.495,-114.657
KNKX,San Diego CA,32.919,-117.042
KSOX,Santa Ana Mountains CA,33.818,-117.636
KVTX,Los Angeles CA,34.412,-119.179
KHNX,San Joaquin Valley CA,36.314,-119.632
KDAX,Sacramento CA,38.501,-121.678
KBBX,Beale AFB CA,39.496,-121.632
KMUX,San Francisco Bay Area CA,37.155,-121.898
KMAX,Medford OR,42.081,-122.717
KRTX,Portland OR,45.715,-122.965
KATX,Seattle/Tacoma WA,48.194,-122.496
KOTX,Spokane WA,47.680,-117.626
KMRX,Knoxville/Tri-Cities TN,36.168,-83.402
KHTX,Huntsville AL,34.931,-86.084
KGWX,Columbus AFB MS,33.897,-88.329
KDGX,Jackson MS,32.280,-89.984
KBMX,Birmingham AL,33.172,-86.770
KEOX,Fort Rucker AL,31.460,-85.459
KFFC,Atlanta GA,33.364,-84.566
KJGX,Robins AFB GA,32.675,-83.351
